product;category
halibut niebieski filet bez skÛry i oúci;Ryby úwieøe lub ch≥odzone
Heinz sos barbecue s≥odko - pikantny ;Sosy, przyprawy
Profi Zupa jarzynowa z miÍsem wieprzowym 450 g;Gotowe dania
Auchan - Ksylitol;Sztuczne substytuty cukru
Wafle ryøowe multigrain ;Pozosta≥e wyroby piekarskie
Danie Hipp    ziemniaki z kurczakiem w pomidorach;ØywnoúÊ dla dzieci
Kawa ziarnista pluton black ;Kawa
BudyÒ S≥odka Chwila waniliowy;Inne artyku≥y øywnoúciowe, gdzie indziej niesklasyfikowane
Knorr Danie Puree Ser z broku≥ami 50 g;Inne artyku≥y øywnoúciowe, gdzie indziej niesklasyfikowane
Pamapol Konserwa tyrolska 300 g;Pozosta≥e przetwory miÍsne
Mlekpol Mazurski Smak TwarÛg pÛ≥t≥usty 250 g;Sery i twarogi
Hellmann's - Majonez babuni;Sosy, przyprawy
Kakao naturalne;Kakao i czekolada w proszku
Petitki Lubisie miú z czekoladπ ;Pozosta≥e wyroby piekarskie
Morliny Szynka Litewska z indyka;WÍdliny
úwieøa bazylia;Warzywa úwieøe lub ch≥odzone inne niø ziemniaki lub pozosta≥e warzywa bulwiaste
House of Asia - Makaron ryøowy 5 mm;Makarony i produkty makaronowe
Tesco Ser topiony do smarowania Emmentaler 150 g;Sery i twarogi
Owsianka Bananowa Mlekovita;Pozosta≥e produkty mleczne
Cukier Diamant Bia≥y Kryszta≥;Cukier
Sussina Gold s≥odzik 500 tabletek;Sztuczne substytuty cukru
Len Z≥oty Bio Planet ;Owoce suszone i orzechy
Melvit - Mπka owsiana;Mπka i pozosta≥e zboøa
szparagi;Warzywa úwieøe lub ch≥odzone inne niø ziemniaki lub pozosta≥e warzywa bulwiaste
Knorr Fix Smaøony ryø po chiÒsku 27 g;Inne artyku≥y øywnoúciowe, gdzie indziej niesklasyfikowane
Ser Sirtakis salatkowy typu greckiego light ;Sery i twarogi
Petitki - Ciasteczko Lubisie z czekoladπ;Pozosta≥e wyroby piekarskie
Jogurt pitny skyr mango&marakuja ;Jogurt
Czosnek;Warzywa úwieøe lub ch≥odzone inne niø ziemniaki lub pozosta≥e warzywa bulwiaste
Helio - skÛrki pomaraÒczowe kandyzowane;Owoce suszone i orzechy
NapÛj gazowany Oshee witaminy i minera≥y ;Napoje orzeüwiajπce
Zott - Jogurt naturalny;Jogurt
Renifer - miÍso mielone;Pozosta≥e miÍsa
Herbata Ahmad Tea English Breakfast ;Herbata
TET British Empire Herbata czarna 50 g (25 torebek);Herbata
Auchan - Gazpacho zupa wielowarzywna z oliwπ z oliwek;Gotowe dania
MiÛd Leúny DwÛr wrzosowy;Døemy, marmolady i miÛd
Przyprawa myúliwska ;SÛl, przyprawy korzenne i zio≥a kulinarne
Halina - P≥atki owsiane gÛrskie;P≥atki úniadaniowe
Kropla Beskidu - Sport mineralna woda niegazowana 12 x 750 ml;Wody mineralne lub ürÛdlane
Kupiec - Slim wafle ryøowe ze s≥onecznikiem;Pozosta≥e wyroby piekarskie
Winiary Sos czosnkowy 350 ml;Sosy, przyprawy
Grapefruit - czerwony waga oko≥o 490g;Owoce úwieøe lub ch≥odzone
Seko - Pasta rybna z Makreli;Pozosta≥e przetwory z ryb i owocÛw morza
Paluszki Grissini z oliwπ ;Pozosta≥e wyroby piekarskie
JANEX - PrÍga wo≥owa  bez koúci, MAP;MiÍso wo≥owe i cielÍce
Soko≥Ûw Mielonka wieprzowa Premium 300 g;Pozosta≥e przetwory miÍsne
Piπtnica Serek wiejski naturalny 500 g;Sery i twarogi
Gerber - Herbatniki Junior herbatniczki maúlane po 12 miesi...;Pozosta≥e wyroby piekarskie
dr Gerard Rurki waflowe z kremem kokosowym 160 g;Pozosta≥e wyroby piekarskie
Kalendarz adwentowy Baron ;Czekolada
jab≥ko Ligol 12kg od sadownika;Owoce úwieøe lub ch≥odzone
Czekolada Lindt Excellence Starwberry ;Czekolada
S≥odzik Dulcilight (50 Uds)4.76;Sztuczne substytuty cukru
Makaron Melissa Primo Gusto kolanka;Makarony i produkty makaronowe
Kaszka Nestle ryøowa z jab≥kami i gruszkami;ØywnoúÊ dla dzieci
Czekolada  bezglutenowa Chocokiss czasem jestem potworkiem ;Czekolada
Gellwe BudyÒ smak waniliowy 40 g;Inne artyku≥y øywnoúciowe, gdzie indziej niesklasyfikowane
Por;Warzywa úwieøe lub ch≥odzone inne niø ziemniaki lub pozosta≥e warzywa bulwiaste
Crunchips X-Cut Chipsy ziemniaczane o smaku ser-cebula 140 g;Chipsy
Winiary Sosy do makaronu Italia Sos cztery sery z bazyliπ 37 g;Inne artyku≥y øywnoúciowe, gdzie indziej niesklasyfikowane
Lubella Corn Flakes Klasyczne P≥atki kukurydziane 300 g;P≥atki úniadaniowe
JAB£KA ODMIANA MUTSU 1 KG RYNECZEK MESSIS;Owoce úwieøe lub ch≥odzone
kotlety drobiowe panierowane;Pozosta≥e przetwory miÍsne
BorÛwki úwieøe bio Bio Planet 125 g;Owoce úwieøe lub ch≥odzone
Gamiks Galaretka wieprzowa 180 g;Pozosta≥e przetwory miÍsne
Skrzyd≥o z indyka;MiÍso drobiowe
Knorr RosÛ≥ z kury 150 g (15 kostek);Inne artyku≥y øywnoúciowe, gdzie indziej niesklasyfikowane
Filety úledziowe w Sosie koperkowym;Pozosta≥e przetwory z ryb i owocÛw morza
Knorr Gorπcy Kubek Pieczarkowa z grzankami 15 g;Inne artyku≥y øywnoúciowe, gdzie indziej niesklasyfikowane
Kardamon owoce kamis specjalite ;SÛl, przyprawy korzenne i zio≥a kulinarne
Gucio NapÛj jab≥kowo-brzoskwiniowy 4 x 200 ml;Napoje orzeüwiajπce
Auchan - Kisiel wiúniowy;Inne artyku≥y øywnoúciowe, gdzie indziej niesklasyfikowane
Danone Fantasia bia≥a Jogurt kremowy z kawa≥kami bia≥ej czekolady 103 g;Jogurt
burak;Warzywa úwieøe lub ch≥odzone inne niø ziemniaki lub pozosta≥e warzywa bulwiaste
Gerber - Deser jab≥ka z marchewkπ i winogronami;ØywnoúÊ dla dzieci
Tesco Chleb razowy ze s≥onecznikiem 450 g;Pieczywo
pomidorki cherry na ga≥πzkach;Warzywa úwieøe lub ch≥odzone inne niø ziemniaki lub pozosta≥e warzywa bulwiaste
rukola pude≥ko;Warzywa úwieøe lub ch≥odzone inne niø ziemniaki lub pozosta≥e warzywa bulwiaste
Czekolada Lindt Creation truflowa o smaku pistacjowym ;Czekolada
Zupa babci zosi barszcz ukraiÒski ;Inne artyku≥y øywnoúciowe, gdzie indziej niesklasyfikowane
Tesco Sznycle z piersi kurczÍcej;MiÍso drobiowe
Kapusta kiszona czerwona 650 g;Warzywa suszone i pozosta≥e przetwory warzywne
Apetina w kostkach z czosnkiem i pietruszkπ ;Sery i twarogi
grzyby enoki úwieøe;Warzywa úwieøe lub ch≥odzone inne niø ziemniaki lub pozosta≥e warzywa bulwiaste
NaturAvena - Krem z orzeszkÛw ziemnych klasyczny;Margaryna i inne t≥uszcze roúlinne
Crunchips X-Cut Chipsy ziemniaczane o smaku papryka 140 g;Chipsy
Ananas - waga 1,7-2,2 kg;Owoce úwieøe lub ch≥odzone
Zott Primo Jogurt naturalny 370 g;Jogurt
Tchibo - kapsu≥ki Cafissimo Espresso Elegant Aroma;Kawa
Jacobs Kronung Kawa ziarnista 500 g;Kawa
Kapary w zalewie ;Warzywa suszone i pozosta≥e przetwory warzywne
Oliwki Gaea zielone olbrzymie ;Warzywa suszone i pozosta≥e przetwory warzywne
Doritos - Nacho chipsy kukurydziane o smaku serowym;Chipsy
Pietruszka natka ;Warzywa úwieøe lub ch≥odzone inne niø ziemniaki lub pozosta≥e warzywa bulwiaste
Ser topiony bloczek pieczarkowy ;Sery i twarogi
Tesco Wiúnie drylowane 680 g;Przetwory owocowe
Morliny - Boczek do smaku w kosteczkach;WÍdliny
Prymat Przyprawa do kurczaka pikantna 25 g;SÛl, przyprawy korzenne i zio≥a kulinarne
Ser Maasdam Holenderski ;Sery i twarogi
Hortex - W≥oszczyzna paski;Warzywa mroøone inne niø ziemniaki lub pozosta≥e warzywa bulwiaste
Mostek wo≥owy bez koúci polski Angus;MiÍso wo≥owe i cielÍce
Andros - EKO sok z pomaraÒczy;Soki owocowe i warzywne
Auchan - orzechy nerkowca;Owoce suszone i orzechy
OgÛrki kwaszone Spiøarnia ;Warzywa suszone i pozosta≥e przetwory warzywne
Ekstrakt naturalny cytryna z sycylii ;Inne artyku≥y øywnoúciowe, gdzie indziej niesklasyfikowane
Cenos - Kasza jÍczmienna wiejska;Mπka i pozosta≥e zboøa
Aviko - Mini placuszki z grubo tartych ziemniakÛw;Ziemniaki
Jacobs - Cronat Gold kawa rozpuszczalna 100g;Kawa
Marchew mini Hortex ;Warzywa mroøone inne niø ziemniaki lub pozosta≥e warzywa bulwiaste
Bifix MiÍta Herbatka zio≥owa 40 g (20 torebek);Herbata
£Åowicz Døem ananasowy niskos≥odzony 280 g;Døemy, marmolady i miÛd
Szynka ze strychu Viando ;WÍdliny
Iglotex - Pierogi ruskie mroøone;Pizza i inne pÛ≥produkty mπczne
Mroøone owoce morza mieszanka Abramczyk 900g;Owoce morza mroøone
Sante - Kasza jaglana;Mπka i pozosta≥e zboøa
Obiadek gerber smakowite broku≥y z krÛlikiem i ryøem ;ØywnoúÊ dla dzieci
Tesco Finest Kie≥basa swojska pilzneÒska;WÍdliny
Dorsz w sosie wÍgierskim Sol Fish ;Pozosta≥e przetwory z ryb i owocÛw morza
Wπtroba z indyka;Podroby i przetwory podrobowe
ParÛwki z filetem z kurczπt ;WÍdliny
Cheetos - Chrupki spirale serowe z ketchupem;Chipsy
Knorr Przyprawa w mini kostkach Czosnek 35 g (10 mini kostek);Inne artyku≥y øywnoúciowe, gdzie indziej niesklasyfikowane
Tesco PolÍdwiczka wieprzowa;MiÍso wieprzowe
Almette Puszysty serek twarogowy ze szpinakiem i czosnkiem 150 g;Sery i twarogi
Tesco Vitellia Nektar z czarnych porzeczek 330 ml;Soki owocowe i warzywne
Tesco Leczo z warzywami i pieczarkami 500 g;Gotowe dania
Ostrygi úwieøe, 1 szt.;Owoce morza úwieøe lub ch≥odzone
£Åaciate Mas≥o ekstra 200 g;Mas≥o
Pudliszki Klopsiki w sosie pomidorowym 500 g;Gotowe dania
ParÛwkowa bosmaÒska Balcerzak i SpÛ≥ka ;WÍdliny
Bakoma - Serek Bakuú czekoladowy;Pozosta≥e produkty mleczne
Rolada Wenecka ;Lody
SuperFish £Åosoú wÍdzony 120 g;Ryby i owoce morza suszone, wÍdzone lub solone
Piπtnica TwarÛg wiejski lekki 250 g;Sery i twarogi
Develey - Dressing winegret;Sosy, przyprawy
Putka - Chleb pro body;Pieczywo
Bobovita - Porcja zbÛø 7 zbÛø wielozboøowo-jaglana wieloowoco...;ØywnoúÊ dla dzieci
Oliwki po kalabryjsku ralo ;Warzywa suszone i pozosta≥e przetwory warzywne
Schulstad Chleb ze s≥onecznikiem 430 g;Pieczywo
Kot√°nyi Pieprz cayenne mielony 20 g;SÛl, przyprawy korzenne i zio≥a kulinarne
Dr. Oetker S≥odka Chwila Owocowy Duet Czerwona porzeczka & Agrest Kisiel z kawa≥kami owocÛw 32 g;Inne artyku≥y øywnoúciowe, gdzie indziej niesklasyfikowane
E. Wedel Lalibelle Czekoladki w 6 smakach 238 g;Czekolada
Goliard - Makaron wstπøki ze szpinakiem i pomidorami;Makarony i produkty makaronowe
Sante Mas≥o orzechowe z kawa≥kami orzechÛw 350 g;Margaryna i inne t≥uszcze roúlinne
Mlekovita Mas≥o Ekstra ose≥ka 300 g;Mas≥o
Wafle ryøowe w czekoladzie deserowej ;Pozosta≥e wyroby piekarskie
Kakao Nesquik ;Kakao i czekolada w proszku
Øurawina Bio Planet ;Owoce suszone i orzechy
HiPP - Zupka jarzynowa krem;ØywnoúÊ dla dzieci
Cytryna 1KG ñ åwieøa i Soczysta;Owoce úwieøe lub ch≥odzone
Sa≥ata Lodowa (szt);Warzywa úwieøe lub ch≥odzone inne niø ziemniaki lub pozosta≥e warzywa bulwiaste
Rolmopsy w zalewie octowo-korzennej Lisner;Pozosta≥e przetwory z ryb i owocÛw morza
Ogrody Natury Sok 100% burak 225 ml;Soki owocowe i warzywne
Zeeland's Roem - åwieøe ostrygi (ostryga pacyficzna) 6 szt.;Owoce morza úwieøe lub ch≥odzone
Sok andros ananas ;Soki owocowe i warzywne
Delma Extra Margaryna o smaku mas≥a 900 g;Margaryna i inne t≥uszcze roúlinne
Knorr Nudle Azja Zupa-danie o smaku curry 70 g;Inne artyku≥y øywnoúciowe, gdzie indziej niesklasyfikowane
Hearty Food Co. Makaron bezjajeczny piÛra 500 g;Makarony i produkty makaronowe
Winiary Pomys≥ na... Soczystπ karkÛwkÍ z ziemniakami 30 g;Inne artyku≥y øywnoúciowe, gdzie indziej niesklasyfikowane
Dawtona Sos do spaghetti pomidorowo-úmietanowy 550 g;Sosy, przyprawy
Tesco Stek z krzyøowej wo≥owej bez koúci 200 g;MiÍso wo≥owe i cielÍce
Matias úledü oryginalny holenderski mroøony tacka 340g;Ryby mroøone
Kotanyi - Przyprawa czarnuszka ca≥a;SÛl, przyprawy korzenne i zio≥a kulinarne
MiÛd lipowy bio ;Døemy, marmolady i miÛd
HiPP - Wafelki ryøowe jagodowe;Pozosta≥e wyroby piekarskie
Winiary Nasza SpecjalnoúÊ Zupa jarzynowa 48 g;Inne artyku≥y øywnoúciowe, gdzie indziej niesklasyfikowane
Auchan - Sos pomidorowy z bazyliπ;Sosy, przyprawy
Czekolada classic mleczna carmel latte z ciasteczkami i kawπ ;Czekolada
Sepia mπtwa z g≥owπ mroøona;Owoce morza mroøone
Kaszka mleczno-orkiszowa bio ;ØywnoúÊ dla dzieci
Heinz - Sos Barbecue;Sosy, przyprawy
Dolce Mamma - Tiramisu Dessert Italiano deser z biszkoptem nasπc...;Pozosta≥e wyroby piekarskie
Kaminiarz Boczek parzony paski;WÍdliny
Winiary Nasza SpecjalnoúÊ Zupa grochowa 75 g;Inne artyku≥y øywnoúciowe, gdzie indziej niesklasyfikowane
Indykpol ParÛwki z indyka klasyczne 220 g (6 sztuk);WÍdliny
Banan Chiquita KiúÊ 1 Sztuka;Owoce úwieøe lub ch≥odzone
Mas≥o orzechowe go on ;Margaryna i inne t≥uszcze roúlinne
Szparagi zielone 500 g;Warzywa úwieøe lub ch≥odzone inne niø ziemniaki lub pozosta≥e warzywa bulwiaste
KrÛlik ca≥y - mroøony HYBRYDA ;Pozosta≥e miÍsa
jeøyny ogrodowe - 500g;Owoce úwieøe lub ch≥odzone
£Åosoú pacyficzny dziki wÍdzony na zimno 100 g;Ryby i owoce morza suszone, wÍdzone lub solone
Biolife tapioka mπka z manioku BIO 500G;Pozosta≥e produkty zboøowe
Tymbark Nektar czarna porzeczka 300 ml;Soki owocowe i warzywne
FRISCO FRESH MiÍso wieprzowe na gulasz;MiÍso wieprzowe
Ma≥øe úwiÍtego jakuba;Owoce morza úwieøe lub ch≥odzone
N-Gine Mojito napÛj energetyzujπcy ;Napoje orzeüwiajπce
Melvit - Mπka kukurydziana;Mπka i pozosta≥e zboøa
Gumy maoam maommix ;Wyroby cukiernicze
Cukiernia Olsza - Ciastka kruche ≥ezki;Pozosta≥e wyroby piekarskie
Mleko skondensowane s≥odzone z kakao;Mleko zagÍszczone i w proszku
Ser tyløycki bio kostka ;Sery i twarogi
Milkeffekt - Ser janosika;Sery i twarogi
import natka pietruszki ekologiczna pÍczek;Warzywa úwieøe lub ch≥odzone inne niø ziemniaki lub pozosta≥e warzywa bulwiaste
Wafle suche-podp≥omyki bez cukru Kupiec ;Pozosta≥e wyroby piekarskie
NapÛj caprio z rÛøowych grejpfrutÛw ;Napoje orzeüwiajπce
Kuhne - Ocet balsamiczny z Modeny;Sosy, przyprawy
Schweppes Lemon NapÛj gazowany 1,4 l;Napoje orzeüwiajπce
Krakus £Åopatka Konserwa 300 g;Pozosta≥e przetwory miÍsne
Dijo - Fresh Wraps Tortilla - placki pszenne grillowane 4...;Pizza i inne pÛ≥produkty mπczne
Dr. Oetker Cukier wanilinowy porcja XXL 43 g;Inne artyku≥y øywnoúciowe, gdzie indziej niesklasyfikowane
Ciasteczka úniadaniowe cookies musli z owocami. ;Pozosta≥e wyroby piekarskie
Henryk Kania - Kie≥basa úlπska;WÍdliny
Gruszka Nashi (4szt);Owoce úwieøe lub ch≥odzone
Valsoia - Yosoi truskawka roúlinny produkt sojowy;Gotowe dania
Auchan - Syrop Grenadine;Napoje orzeüwiajπce
Knorr Wege danie Orientalny bulgur z pomidorami i cieciorkπ 71 g;Mπka i pozosta≥e zboøa
Rama Smaø jak szef kuchni klasyczna Z mixem olejÛw 500 ml;Margaryna i inne t≥uszcze roúlinne
kapusta bia≥a m≥oda eko;Warzywa úwieøe lub ch≥odzone inne niø ziemniaki lub pozosta≥e warzywa bulwiaste
Wafelek Knoppers  mleczno-orzechowy ;Pozosta≥e wyroby piekarskie
Milka XL Cookies Choco Ciastka z kawa≥kami czekolady mlecznej 184 g;Pozosta≥e wyroby piekarskie
Tesco Polska kolendra w doniczce;Warzywa úwieøe lub ch≥odzone inne niø ziemniaki lub pozosta≥e warzywa bulwiaste
Hortex Czarna porzeczka 450 g;Owoce mroøone
Lifeberry - 100% Naturalny Sok Przecierowy z Czarnej Porzeczki;Soki owocowe i warzywne
NapÛj fuze green tea lime mint ;Napoje orzeüwiajπce
Sierpc Ser Pikserki 135 g;Sery i twarogi
Auchan - Sok z klementynek swieøy;Soki owocowe i warzywne
Sok 100% Hortex jab≥kowy pet ;Soki owocowe i warzywne
7 Days - Double Max rogalik z nadzieniem o smaku wanili i t...;Pozosta≥e wyroby piekarskie
Dallmayr - Espresso d'Oro kawa ziarnista;Kawa
Musztarda Kamis Czosnkowa;Sosy, przyprawy
Tesco Vitellia Sok pomidorowy 330 ml;Soki owocowe i warzywne
Dr. Oetker - Galaretka truskawkowa;Inne artyku≥y øywnoúciowe, gdzie indziej niesklasyfikowane
Tesco Polskie WÍdliny Salami plastry 100 g;WÍdliny
Ketchup Heinz pikantny ;Sosy, przyprawy
Haagen-Dazs - Pralines & Cream lody waniliowe z sosem karmelowym...¬†karmelizowanymi orzechami pekan;Lody
Irving Herbata czarna poziomkowa z waniliπ 30 g (20 torebek);Herbata
Kapusta Bia≥a (kg);Warzywa úwieøe lub ch≥odzone inne niø ziemniaki lub pozosta≥e warzywa bulwiaste
Cook's Kitchen Ocet winny z bia≥ego wina 500 ml;Sosy, przyprawy
Figaro - Papryka Piri-Piri ostra;Warzywa suszone i pozosta≥e przetwory warzywne
Zott Jogobella Owocowa Wyspa truskawka Deser jogurtowy 150 g;Pozosta≥e produkty mleczne
NapÛj jogurtowy truskawkowy pitny kubek ;Jogurt
w≥oszczyzna klasyczna + øÛ≥ta marchew, bia≥a marchew;Warzywa úwieøe lub ch≥odzone inne niø ziemniaki lub pozosta≥e warzywa bulwiaste
MSM MoÒki Ser Edamski typu holenderskiego w plastrach;Sery i twarogi
Podniesiony Kciuk - Makaron muszelki;Makarony i produkty makaronowe
Kotanyi - Przyprawa do gyrosa;SÛl, przyprawy korzenne i zio≥a kulinarne
Terina z sarny , 535g/op.;Pozosta≥e przetwory miÍsne
Serek úmietankowy £Åaciaty z chrzanem ;Sery i twarogi
Sunquick - Sok owoce tropikalne;Soki owocowe i warzywne
Pasztet wiejski wÍdzony porcja ;Pozosta≥e przetwory miÍsne
Oshee - NapÛj izotoniczny H20 magnez + witamina b6;Napoje orzeüwiajπce
Lubella Creste di Gallo Makaron Kolanka ozdobne 500 g;Makarony i produkty makaronowe
Dr. Oetker Pisaki cukrowe 76 g (4 tubki);Inne artyku≥y øywnoúciowe, gdzie indziej niesklasyfikowane
Orzechy laskowe tarte ;Owoce suszone i orzechy
Pierniki nadziewane lukrowane ca≥uski ;Pozosta≥e wyroby piekarskie
Ser emmentaler niemiecki ;Sery i twarogi
Novofruct pasztet z pieczarkami 130g x24;Pozosta≥e przetwory miÍsne
Rinatura - Olej sezamowy t≥oczony na zimno;Pozosta≥e oleje jadalne
Tradycyjna charsznicka kapusta kiszona 1200 g;Warzywa suszone i pozosta≥e przetwory warzywne
Osilma Premium odt≥uszczone naturalne mleko w proszku 500g;Mleko zagÍszczone i w proszku
Toblerone - Czekolada white;Czekolada
Flaki CielÍce Gotowane, Krojone;Podroby i przetwory podrobowe
DROSED ∆wiartka wÍdzona z kurczaka;Pozosta≥e przetwory miÍsne
Øo≥πdki z kurczaka úwieøe ;Podroby i przetwory podrobowe
Dynia ≥uskana pestki;Owoce suszone i orzechy
Ita-San - Imbir marynowany rÛøowy, z substancjami s≥odzπcymi;Warzywa suszone i pozosta≥e przetwory warzywne
Mestemacher Pumpernikiel 250 g;Pieczywo
Dr. Oetker Aromat waniliowy 9 ml;Inne artyku≥y øywnoúciowe, gdzie indziej niesklasyfikowane
Skoki z krÛlika;Pozosta≥e miÍsa
Auchan - Surimi - paluszki o smaku krabowym.;Pozosta≥e przetwory z ryb i owocÛw morza
Ser tyløycki superior ;Sery i twarogi
Broku≥ - sztuka;Warzywa úwieøe lub ch≥odzone inne niø ziemniaki lub pozosta≥e warzywa bulwiaste
chrzan lokalny rolnik;Warzywa úwieøe lub ch≥odzone inne niø ziemniaki lub pozosta≥e warzywa bulwiaste
Krewetka Vanamei bia≥a gotowana obrana z ogonkiem 31/40 Piotr i Pawe≥;Owoce morza mroøone
Sante - Organic 100% Vegan napÛj migda≥owy;Pozosta≥e produkty mleczne
NapÛj gazowany orangina original zero ;Napoje orzeüwiajπce
Piotr i Pawe≥ - Êwik≥a z chrzanem ;Warzywa suszone i pozosta≥e przetwory warzywne
Syrop Herbapol Owocowa Spiøarnia kiwi ;Napoje orzeüwiajπce
Menii - Smoothie pomaraÒcza, banan, kokos;Przetwory owocowe
Kie≥basa drobiowa ze spiøarni ;WÍdliny
Udziec jagniÍcy z koúciπ bez biodrÛwki - produkt mroøony;MiÍso baranie i kozie
Uncle Ben's Ryø d≥ugoziarnisty z dzikim 500 g (4 torebki);Ryø
Makaron fusillotte ;Makarony i produkty makaronowe
Mini babeczki Madeleines z kawa≥kami czekolady ;Pozosta≥e wyroby piekarskie
Aromat Delecta PomaraÒczowy;Inne artyku≥y øywnoúciowe, gdzie indziej niesklasyfikowane
karmazyn filet;Ryby úwieøe lub ch≥odzone
GALARETKA WIEPRZOWA Z OG”RKIEM;Pozosta≥e przetwory miÍsne
Podgardle wieprzowe tacka;Pozosta≥e t≥uszcze zwierzÍce
Barilla Makaron Farfalle 500 g;Makarony i produkty makaronowe
Jogurt Activia do Picia truskawka-kiwi ;Jogurt
Sorbet cytrynowe Mancuso ;Lody
Grycan - Lody Familijne czekoladowe;Lody
Gerber - Obiadek bukiet jarzyn z cielecinπ i kluseczkami;ØywnoúÊ dla dzieci
Tesco Jogurt naturalny typ grecki 400 g;Jogurt
Sok Hortex Vitaminka 100% marchew, jab≥ko, banan;Soki owocowe i warzywne
Migda≥y Bio Bionica ;Owoce suszone i orzechy
Lajkonik - Precelki chrupkie;Pozosta≥e wyroby piekarskie
Lisner - Filety z makreli w kremie pomidorowym z chili;Pozosta≥e przetwory z ryb i owocÛw morza
Oleficio Gabro - Oliwa extra vergine dla dzieci;Oliwa z oliwek
Makar - Rodzynki;Owoce suszone i orzechy
Jab≥ka - odmiana Red Jonaprince tacka 4szt.;Owoce úwieøe lub ch≥odzone
Ser z≥oty Radamer 135 g;Sery i twarogi
Bakalland - Ba ! owsianka jab≥ko i cynamon;P≥atki úniadaniowe
karczochy sztuka;Warzywa úwieøe lub ch≥odzone inne niø ziemniaki lub pozosta≥e warzywa bulwiaste
Karmelizowane skondensowane s≥odzone mleko Rududu;Mleko zagÍszczone i w proszku
Ser Valbon Brie ;Sery i twarogi
Tesco Ser Emmentaler 250 g;Sery i twarogi
Kawa Little's Orzech Laskowy;Kawa
Uniche & Sicule - Pistacchio krem z pistacji.;Margaryna i inne t≥uszcze roúlinne
Guma Orbit For Kids Classic 14 listkÛw ;Wyroby cukiernicze
Splenda w saszetkach PUDE£ÅKO 200 sztuk;Sztuczne substytuty cukru
Sos taco salsa ostry ;Sosy, przyprawy
Knorr - Przyprawa do zup w p≥ynie;Sosy, przyprawy
NapÛj sojowy Alpro Soya Oryginalny o smaku naturalnym ;Pozosta≥e produkty mleczne
frisco fresh pomidory úliwkowe rzymskie czerwone;Warzywa úwieøe lub ch≥odzone inne niø ziemniaki lub pozosta≥e warzywa bulwiaste
Sok z pomaraÒczowy Jaffa pomaraÒczowy;Soki owocowe i warzywne
LliúÊ laurowy Kotanyi ;SÛl, przyprawy korzenne i zio≥a kulinarne
Sos tzatziki Kamis ;Sosy, przyprawy
Comber z krÛlika úwieøy;Pozosta≥e miÍsa
Mieszanka orzechowa;Owoce suszone i orzechy
Filety úledziowe w oleju;Pozosta≥e przetwory z ryb i owocÛw morza
Abraham Szynka Serrano 80 g;WÍdliny
Naturio Super smoothie jab≥ko pomaraÒcza + acerola odpornoúÊ 330 ml;Przetwory owocowe
£Åowicz Døem 100% z owocÛw brzoskwinia 220 g;Døemy, marmolady i miÛd
Grycan Lody waniliowe 500 ml;Lody
Sos Winiary pomidorowy;Inne artyku≥y øywnoúciowe, gdzie indziej niesklasyfikowane
Sos Louisiana Red Casa Fiesta ;Sosy, przyprawy
Zestaw 30szt truskawek FRIGO Truskawki z tradycjπ;Owoce úwieøe lub ch≥odzone
Nestle - Kaszka mleczno-ryøowa z morelami;ØywnoúÊ dla dzieci
Winiary Galaretka cytrynowy smak 71 g;Inne artyku≥y øywnoúciowe, gdzie indziej niesklasyfikowane
Wafelek GÛralki nugatowe ;Pozosta≥e wyroby piekarskie
TGE Mleko zagÍszczone nies≥odzone 7,5% 1kg;Mleko zagÍszczone i w proszku
£opatka surowa wieprzowa lux;MiÍso wieprzowe
Øeberka wo≥owe USDA CHOICE 3.5 kg - wo≥owina USA;MiÍso wo≥owe i cielÍce
Auchan - Broku≥y mroøone;Warzywa mroøone inne niø ziemniaki lub pozosta≥e warzywa bulwiaste
úwieøe opakowanie zbiorcze kg burak czerwony úwieøy bio;Warzywa úwieøe lub ch≥odzone inne niø ziemniaki lub pozosta≥e warzywa bulwiaste
Sok jab≥kowo-kiwi Royal Apple bezpoúrednio t≥oczony 3L ;Soki owocowe i warzywne
Felix Orzeszki ziemne praøone bez soli 380 g;Przetwory owocowe
DayUp - Red Puree jab≥kowe z jogurt naturalny, truskawkπ, ...;Pozosta≥e produkty mleczne
Hortex Marchewka mini 450 g;Warzywa mroøone inne niø ziemniaki lub pozosta≥e warzywa bulwiaste
Zupa b≥yskawiczna ser i boczek Rollton ;Inne artyku≥y øywnoúciowe, gdzie indziej niesklasyfikowane
Decomorreno Czekolada Hot Milky 150g;Kakao i czekolada w proszku
Dr. Oetker - Aromat cytrynowy;Inne artyku≥y øywnoúciowe, gdzie indziej niesklasyfikowane
Tesco Szproty w oleju s≥onecznikowym 170 g;Pozosta≥e przetwory z ryb i owocÛw morza
åledziona jelenia, podroby z dziczyzny 100 g;Podroby i przetwory podrobowe
Graalki Smaczne rybki Fileciki z makreli w sosie pomidorowym a'la ketchup 100 g;Pozosta≥e przetwory z ryb i owocÛw morza
Tesco Orzechy laskowe w czekoladzie mlecznej 100 g;Wyroby cukiernicze
Kuchnia Staropolska Pulpety w s.pomidorowym 700 g;Pozosta≥e przetwory miÍsne
buraki okrπg≥e boro bardzo duøe eko;Warzywa úwieøe lub ch≥odzone inne niø ziemniaki lub pozosta≥e warzywa bulwiaste
Polonaise Chrzan tarty 180 g;Warzywa suszone i pozosta≥e przetwory warzywne
Udziec wo≥owy bez koúci;MiÍso wo≥owe i cielÍce
