kod;kod4;nazwa_en;zadania_en;zadania_en_2;nazwa_pl
77.4;'7740';Leasing of intellectual property and similar products, except copyrighted works;"This class includes the activities of allowing others to use intellectual property products and similar products for which a royalty payment or licensing fee is paid to the owner of the product ( in other words, the asset holder). The leasing of these products can take various forms (for example, permission for reproduction, use in subsequent processes or products, operating businesses under a franchise). The current owners may or may not have created these products. This class includes:;leasing of intellectual property products, except copyrighted works (e.g. books, software);receiving royalties or licensing fees for the use of:;patented entities;trademarks or service marks;brand names;mineral exploration and evaluation;franchise agreements;internet domains;rights of designed or developed board games";receiving royalties or licensing fees for scientific research results;Dzierżawa własności intelektualnej i podobnych produktów, z wyłączeniem prac chronionych prawem autorskim
77.51;'7751';Intermediation service activities for rental and leasing of cars, motorhomes and trailers;intermediation of the rental and leasing of passenger cars, motorhomes and caravans, by bringing clients and service providers together for a fee or commission, without the intermediary providing the rental and leasing services that are intermediated. These intermediation activities can be carried out on digital platforms or through non-digital channels (including face-to-face, door-to-door, telephone, mail, and so on). The fee or commission can be received from either the client or the provider of the rental and leasing service. Revenue for the intermediation activities can include other sources of income (for example, revenues from the sale of advertising space). ;reservation services for car rentals;Usługi pośrednictwa w zakresie wynajmu i dzierżawy samochodów osobowych, samochodów kempingowych i przyczep
77.52;'7752';Intermediation service activities for rental and leasing of other tangible goods and non-financial intangible assets;"intermediation of the rental and leasing of other tangible goods and non-financial intangible assets, by bringing clients and service providers together for a fee or commission, without the intermediary providing the rental and leasing services that are intermediated. These intermediation activities can be carried out on digital platforms or through non-digital channels (including face-to-face, door-to-door, telephone, mail, and so on). The fee or commission can be received from either the client or the provider of the rental and leasing service. Revenue for the intermediation activities can include other sources of income (for example, revenues from the sale of advertising space). This class includes:;providing intermediation between households that offer their goods for rental and households renting the goods (e.g. lawn mowers, ladders, bicycles)";;Usługi pośrednictwa w zakresie wynajmu i dzierżawy pozostałych dóbr materialnych oraz niefinansowych wartości niematerialnych i prawnych
78.1;'7810';Activities of employment placement agencies;"listing employment vacancies and referring or placing applicants for employment where the individuals referred or placed are not employees of the employment agencies. personnel search, selection referral and placement activities, including executive search and placement activities;activities of casting agencies and bureaux (e.g. theatrical casting and model agencies);activities of online employment placement agencies";activities of talent scouts;Działalność związana z wyszukiwaniem miejsc pracy i pozyskiwaniem pracowników
78.2;'7820';Temporary employment agency activities and other human resource provisions;activities of supplying workers to clients’ businesses for specific periods of time to temporarily replace or supplement the workforce of the client. In such an employment arrangement, the temporary employment agency or provider of;;Działalność agencji pracy tymczasowej i pozostała działalność związana z udostępnianiem pracowników
79.11;'7911';Travel agency activities;"activities of agencies, primarily engaged in the sale of packaged tours and cruises to the general public or to commercial clients, alongside additional accommodation advice or expertise: reservation services for pre-packaged tours, domestic (national) and international;reservation services for customised tour packages for groups, domestic (national) or international;intermediation service activities for the conclusion of contracts for the provision of tourist services from tour operators"; intermediation of packaged travel services in the destination;Działalność agentów turystycznych
79.12;'7912';Tour operator activities;"arranging, assembling and marketing packaged tours: pre-packaged tours, domestic (national) and international; customised tour packages for groups, domestic (national) or international; Package tours usually include passenger and baggage transport, accommodation, food and sightseeing services. Tour operators are engaged in the operation of tour packages that are sold by travel agencies, including arranging and assembling different services in the packaged tour. Tour operators might be employed or contracted by a travel agency, or they might operate as independent tour operators. ";;Działalność organizatorów turystyki
79.9;'7990';Other reservation service and related activities;"visitor assistance services: provision of travel information to visitors; activities of independent tourist guides; activities of tourism promotion";;Pozostała działalność usługowa w zakresie rezerwacji oraz działalności z nią związane
80.01;'8001';Investigation and private security activities;" investigation services in private, commercial, insurance and legal fields; guard, patrol or security services; support services for cash collection and deposit services; secure shredding and data destruction services; armoured car services";"guard and security service activities (e.g. for shops, trauma centres); luggage and passenger inspection at airports, railway stations and other similar places; activities of security personnel for events, concerts, fairs and exhibitions ";Działalność detektywistyczna i działalność ochroniarska w zakresie ochrony osobistej
80.09;'8009';Security activities n.e.c.;"provision of one or more of the following services: security system services as part of security service centres or alarm receiving centres (ARC); remote monitoring and video surveillance systems services; and – only if provided in connection with later monitoring and remote monitoring services – installation, repair and maintenance of electronic security systems.";"security consultants’ activities;  activities in an emergency call and service centre or alarm receiving centre (ARC); monitoring and remote monitoring of electronic security systems (e.g. burglar alarms, video surveillance systems, fire alarms); monitoring and remote monitoring of mechanical or electronic locking devices, safes and vaults; installation and maintenance of electronic security systems, (e.g. burglar or theft alarms, video surveillance systems, fire alarms), if provided in connection with later monitoring and remote monitoring services; installation, repair, modification and adaptation of mechanical or electronic locking devices, electronic security systems, safes and vaults, if provided in connection with later monitoring and remote monitoring services";Działalność ochroniarska gdzie indziej niesklasyfikowana
81.1;'8110';Combined facilities support activities;This class includes the provision of a combination of support services within clients’ facilities. These services include general interior cleaning, maintenance, waste disposal, doormen and surveillance services, mail routing, reception, laundry and related services to support operations within facilities. These support activities are performed by operating staff, who are not involved with or responsible for the core business or activities of the client. ;;Działalność pomocnicza związana z utrzymaniem porządku w budynkach
81.21;'8121';General cleaning of buildings;" general (non-specialised) cleaning of all types of buildings, e.g.: offices, private dwellings (e.g. houses or apartments), factories, shops, institutions; general (non-specialised) cleaning of other business and professional premises and multi-unit residential buildings These general cleaning activities are mostly interior cleaning although they may include the cleaning of associated exterior areas (for example, windows, passageways).";;Niespecjalistyczne sprzątanie budynków
81.22;'8122';Other building and industrial cleaning activities;"exterior cleaning of buildings of all types (e.g. offices, factories, shops, schools and other institutions, other business and professional premises, multi-unit residential buildings); specialised cleaning activities for businesses in food industries, including manufacturing, retail sale, restaurants, etc.; specialised cleaning activities for buildings (e.g. facade and window cleaning, chimney cleaning and cleaning of fireplaces, stoves, furnaces, incinerators, boilers, ventilation ducts and exhaust units); specialised industrial cleaning (e.g. cleaning of industrial machinery); cleaning of water supply pipelines; cleaning of aeraulic ducts; other specialised building and industrial cleaning activities n.e.c.; cleaning of new buildings immediately after construction; steam cleaning, sandblasting and similar activities for building exteriors";;Pozostałe sprzątanie budynków i obiektów przemysłowych
81.23;'8123';Other cleaning activities;"swimming pool cleaning and maintenance activities; cleaning of trains, buses, planes, etc.; cleaning of the inside of road and sea tankers; sanitising, disinfecting and exterminating activities; bottle cleaning; street sweeping";;Pozostałe sprzątanie
81.3;'8130';Landscape service activities;" planting, care and maintenance of parks and gardens for: private and public housing; public and semi-public buildings (schools, hospitals, administrative buildings, church buildings, etc.); municipal grounds (parks, green areas, cemeteries, etc.); highway greenery (roads, train lines and tramlines, waterways, ports); industrial and commercial buildings; planting, care and maintenance of greenery for:; buildings (roof gardens, facade greenery, indoor gardens, etc.); sports grounds (football fields, golf courses, etc.), playgrounds, lawns for sunbathing and other recreational parks; stationary and flowing water (basins, alternating wet areas, ponds, swimming pools, ditches, watercourses, plant sewage systems); planting of vegetation for protection against noise, wind, erosion, visibility; protection and restoring landscape (e.g. for parks, gardens); ecological engineering works for the purpose of ecological preservation of sites";" restoration of natural environments (e.g. plant engineering, renaturation of ecosystems); erosion control activities in mountain environments, spawning grounds and riverbanks; creation and relocation of species habitats (e.g. nesting boxes, shelters, hibernacula); prevention, control and response activities against the introduction and spread of invasive species in fauna or flora; environmental management (e.g. performing protection and maintenance measures for dunes, moors, wetlands or other sensitive areas; eco-grazing) ";Działalność usługowa związana z zagospodarowaniem terenów zieleni
82.1;'8210';Office administrative and support activities;"This class includes the provision of a combination of day-to-day office administrative services (for example, reception, financial planning, billing and record-keeping, personnel, postal and mailing services, and so on), for others on a contract or fee basis. This class includes:; document preparation (e.g. editing, proofreading, typing, word processing and pre-archiving); other secretarial support services; transcription of documents; letter or résumé writing; provision of mailbox rental services and other postal and mailing services (e.g. pre-sorting, addressing); duplicating; blueprinting; operation of photocopying machines for photocopying as a self-service; digitalisation of files (without any further processing of data); formatting of e-books";support activities for others on a contract or fee basis that are ongoing routine business support functions that businesses and organisations traditionally do for themselves.;Działalność związana z administracyjną obsługą biura, włączając działalność wspomagającą
82.2;'8220';Activities of call centres;"activities of:  inbound call centres, including answering calls from clients by using human operators, automatic call distribution, computer telephone integration, interactive voice response systems or similar methods to receive orders, provide product information, deal with customer requests for assistance or address customer complaints; outbound call centres using similar methods to market goods or services to potential customers; conducting telephone interviews for market and opinion research surveys on a contract or fee basis; web-based contact centres";"activities of:
- centres dealing with customer requests for assistance or addressing customer complaints through other communication channels";Działalność centrów telefonicznych (call center)
82.3;'8230';Organisation of conventions and trade shows;"organisation, promotion and/or management of events, for example: business and trade shows; company events; general or specialised exhibitions; conferences and conventions; seminars, symposiums and workshops; farmers’ marke";management and provision of the staff to operate the facilities in which the aforementioned events take place but only if the management and provision of staff are performed in association with the organisation, promotion and/or management of such events.;Działalność związana z organizacją targów, wystaw i kongresów
82.4;'8240';Intermediation service activities for business support service activities n.e.c.;intermediation service activities for business support activities n.e.c., by bringing clients and service providers together for a fee or commission. These intermediation activities can be carried out on digital platforms or through non-digital channels (including face-to-face, door-to-door, telephone, mail, and so on). The fee or commission can be received from either the client or the provider of the business support service. Revenue for the intermediation activities can include other sources of income (for example, revenues from the sale of advertising space). ;reservation services for theatrical, sport, amusement and entertainment tickets;Usługi pośrednictwa w zakresie działalności wspomagającej prowadzenie działalności gospodarczej, gdzie indziej niesklasyfikowane
82.91;'8291';Activities of collection agencies and credit bureaus;"collection of payments for claims and remittance of payments collected to the clients (e.g. bill or debt collection services); compiling and the provision of information (e.g. credit or employment history) for financial institutions, retailers and others who have a need to evaluate the creditworthiness of individuals or businesses";"activities of rating agencies; repossession activities";Działalność świadczona przez agencje inkasa i biura kredytowe
82.92;'8292';Packaging activities;"packaging activities on a fee or contract basis, whether or not these involve an automated process: bottling of liquids or gaseous goods, including beverages and food; packaging of solids (blister packaging, foil-covered, etc";;Działalność związana z pakowaniem
82.99;'8299';Other business support service activities n.e.c.;"fundraising organisation services on a contract or fee basis; court reporting or stenotype recording services; public stenography services; real-time (i.e. simultaneous) closed captioning of meetings, conferences; barcoding services; barcode imprinting services; parking meter coin collection services; activities of handling visa and work permits; restaurant voucher handling service activities; providing assistance in motor vehicle registration; relocation service activities; administration of gift packages for leisure activities; voucher issuing and handling activities; charity crowdfunding activities; company domiciliation services; reading of consumption of heat and hot water, including cost allocation; administration of loyalty programmes; selling of deferred travel services: form of distribution of a service linked to travel, which can be of any nature (hotels, restaurants, personal care, leisure activities, etc.); trading and brokerage of crypto-assets without liabilities ";;Pozostała działalność wspomagająca prowadzenie działalności gospodarczej, gdzie indziej niesklasyfikowana
84.11;'8411';General public administration activities;"executive and legislative administration of central, regional and local bodies; activities of ministries at national and regional levels; administration and supervision of fiscal affairs: operation of taxation schemes; duty/tax collection and tax violation investigation; customs administration; budget implementation and management of public funds and public debt:; raising and receiving of money and control of their disbursement; administration of overall (civil) research and development policy and associated funds; administration and operation of overall economic and social planning and statistical services at the various levels of government ";;Kierowanie podstawowymi rodzajami działalności publicznej
84.12;'8412';Regulation of health care, education, cultural services and other social services;"public administration of programmes aimed to increase personal well-being, e.g.: health, education, culture, sport, recreation, environment, housing, social services; public administration of research and development policies and associated funds for these areas";"public sponsoring of recreational and cultural activities; distribution of public grants to artists; administration of potable water supply programmes; administration of waste collection and disposal operations; administration of environmental protection programmes; administration of housing programmes";Kierowanie działalnością usługową w zakresie ochrony zdrowia, edukacji, kultury oraz pozostałych usług społecznych
84.13;'8413';Regulation of and contribution to more efficient operation of businesses;"This class includes: public administration and regulation, including subsidy allocation for different economic sectors, e.g.: agriculture, land use energy and mining resources; infrastructure; transport; communication; hotels and tourism; wholesale and retail sale; administration of research and development policies and associated funds to improve economic performance; administration of general labour affairs; implementation of regional development policy measures (e.g. to reduce unemployment) ";"activities of the national cybersecurity agencies; financial regulation relating to the conduct of business and consumer protection and other wider financial regulatory activities";Kierowanie w zakresie efektywności gospodarowania
84.21;'8421';Foreign affairs;"administration and operation of the ministry of foreign affairs and diplomatic and consular missions stationed abroad or at offices of international organisations; administration, operation and support for information and cultural  services intended for distribution beyond national boundaries; aid to foreign countries, whether or not routed through international organisations; provision of military aid to foreign countries; management of foreign trade, international financial and foreign technical affairs";;Sprawy zagraniczne
84.22;'8422';Defence activities;"administration, supervision and operation of military defence affairs and land, sea, air and space defence forces, e.g.: combat forces of army, navy and air force; engineering, transport, communication, intelligence, materiel,  personnel and other non-combat forces and commands; reserve and auxiliary defence forces; military logistics (provision of equipment, structures, supplies, etc.); health activities for military personnel in the field; administration, operation and support of civil defence forces; support for the elaboration of contingency plans and the carrying out of exercises in which civilian institutions and populations are involved; administration of defence-related research and development policies and related funds";;Obrona narodowa
84.23;'8423';Justice and judicial activities;"administration and operation of administrative, civil and criminal law courts, military tribunals, and the judicial system; rendering of judgements and interpretations of the law; activities of public prosecutors; arbitration of civil actions; prison administration and the provision of prison services, including rehabilitation services";;Wymiar sprawiedliwości
84.24;'8424';Public order and safety activities;"administration and operation of regular and auxiliary police forces supported by public authorities and of port, border, coastguards and other special police forces, including traffic law enforcement, alien registration, and the maintenance of arrest records; provision of supplies for domestic emergency use in case of peacetime disasters"; the activities of voluntary associations that ensure the protection of public safety;Bezpieczeństwo państwa, porządek i bezpieczeństwo publiczne
84.25;'8425';Fire service activities;"firefighting activities: administration and operation of regular and auxiliary fire brigades in fire prevention, firefighting, the rescue of persons and animals, assistance in civic disasters, floods, road accidents, etc., including firefighting by units on a contract or fee basis; activities of beach supervisors, i.e. lifeguards; activities of rescue operations on open water and in mountains";;Ochrona przeciwpożarowa
84.3;'8430';Compulsory social security activities;"funding and administration of government-provided social security programmes, e.g.: sickness, work-accident and unemployment insurance; retirement pensions; covering losses of income due to parental leave, temporary disablement, widowhood / loss of partner";;Obowiązkowe ubezpieczenia społeczne
85.1;'8510';Pre-primary education;pre-primary education, which is defined as the initial stage of organised instruction designed primarily to introduce very young children to a school-type environment, that is, to provide a bridge between the home and a school-based environment;;Wychowanie przedszkolne
85.2;'8520';Primary education;primary education: the furnishing of academic courses and associated coursework that give students a sound basic education in reading, writing and mathematics and an elementary understanding of other subjects geography, natural science, social science, art and music). ;provision of education programmes within or outside the school system which are equivalent in content to programmes in primary education but are intended for those considered too old to enter primary schools. Examples of such rogrammes are adult literacy programmes, second chance or reintegration programmes.;Szkoły podstawowe
85.31;'8531';General secondary education;"provision of education that lays the foundation for lifelong learning and human development and is capable of furthering education opportunities. Activities classified in this class are based on programmes that are usually on a more subject-oriented curriculum using more specialised teachers and more often employing several teachers conducting classes in their field of specialisation. Subject specialisation at this level often begins to have some influence even on the educational experience of those pursuing a general programme. Such programmes are designed to qualify students either for technical and vocational education or for entrance to higher education without any special subject prerequisite. This class includes:; lower general secondary education corresponding more or less to compulsory school age; upper general secondary education, whether granting access or not to higher education ";;Szkoły średnie ogólnokształcące
85.32;'8532';Vocational secondary education;"provision of education typically emphasising subject-matter specialisation and instruction in both a theoretical background and practical skills that are generally associated with present or prospective employment. The aim of a programme can vary from preparation for a general field of employment to a very specific job. This class includes:; technical and vocational education below the level of post-secondary non-tertiary education as defined in Post-secondary non-tertiary education";"programmes corresponding to the definition of formal education and training as, for example, in the following fields: instruction for tourist guides; instruction for chefs, hoteliers and restaurateurs; cosmetology and  hairdresser/barber schools; computer repair training; education activities of driving schools for occupational drivers (e.g. of trucks, buses, coaches) and of schools for forklift drivers and professional pilots (including instructions for drone pilots) ";Szkoły prowadzące szkolenie zawodowe, z wyłączeniem szkół policealnych
85.33;'8533';Post-secondary non-tertiary education;"provision of post-secondary education and training programmes (both general and vocational) which cannot be considered tertiary education; these are post-secondary non-tertiary education and training programmes. provision of supplementary post-secondary education to prepare for tertiary education or for post-secondary non-tertiary vocational education. ";;Szkoły policealne
85.4;'8540';Tertiary education;"furnishing of tertiary academic, professional and vocational courses and the granting of degrees at short-cycle, bachelor’s or equivalent level, master’s or equivalent level, and doctoral level. education in public and private universities provided at the level of:; short-cycle studies, usually based on practical learning appropriate to the performance of a given profession and preparing students for entry into the labour market or other higher education programmes; first-cycle studies open to applicants with a secondary school leaving certificate and leading to a first-degree qualification; second-cycle studies open to applicants holding at least a first-cycle qualification and leading to a second-cycle qualification; comprehensive master’s degree courses open to applicants holding a secondary school leaving certificate and leading to a second-cycle qualification; postgraduate studies open to applicants who have completed at least first-cycle studies and leading to a postgraduate qualification; third-cycle studies (training for doctoral students) open to applicants holding at least second-cycle studies and leading to a third-cycle qualification Education may be conducted as full-time or part-time studies.";" short-cycle vocational education and training programmes at ISCED-P 2011 Level 5; higher vocational and professional education and training programmes at ISCED-P 2011 Level 6 and ISCED-P 2011 Level 7 (for example, those leading to master craftsmen qualifications); education activities of performing arts schools providing tertiary education; adult or continuing education programmes equivalent in complexity of content to the education given in education activities already classified at this level ";Szkoły wyższe
85.51;'8551';Sports and recreation education;"provision of instruction in athletic activities to groups or individuals (for example, by camps, schools). Activities provided by day and overnight sports instruction camps are also included. Instruction may be provided in diverse settings (for example, the unit’s or client’s training facilities, educational institutions) or by other means, including the internet. Instruction provided in this class offers structured educational arrangements (for example, student-teacher relationships) that are specially designed for education and learning. However, it does not lead to qualifications at primary through to tertiary levels. This class includes:; sports instruction in camps or schools; activities of professional sports instructors, teachers, coaches; gymnastics instruction; riding instruction; swimming instruction; martial arts instruction; card game instruction (e.g. bridge); board game courses; yoga or Pilates instruction; e-sports instruction";;Pozostałe formy edukacji sportowej oraz zajęć sportowych i rekreacyjnych
85.52;'8552';Cultural education;"This class includes the provision of instruction in the arts, drama and music (for example, by schools, studios, classes). Structured educational arrangements specially designed for education and learning (for example, student-teacher relationships and/or  interactions) are provided. Such instruction is mainly for hobby, recreational or self-development purposes, and does not lead to qualifications at primary through to tertiary levels. This class includes:; music instruction; art instruction; dance instruction; drama, fine arts, performing arts and photography instruction";;Pozostałe formy edukacji artystycznej
85.53;'8553';Driving school activities;Driving school activities;education activities of flying, sailing and shipping schools not issuing commercial certificates and permits;Pozostałe formy edukacji z zakresu nauki jazdy i pilotażu
85.59;'8559';Other education n.e.c.;"education that is not definable by level; academic tutoring; remedial courses; professional examination review courses; language instruction and conversational skills instruction; computer training (e.g. general computer use, programming courses, use of computer applications); relaxation courses (e.g. meditation courses, breathing techniques, courses of awareness through movement, courses on stress and anxiety relief techniques); sewing courses; oenology courses; family life courses (e.g. parent–child courses); training on plant protection products";" lifeguard training; survival training; public speaking training; speed-reading instruction";Pozostałe formy edukacji, gdzie indziej niesklasyfikowane
85.61;'8561';Intermediation service activities for courses and tutors;intermediation of service activities for courses and tutors by bringing clients and service providers together for a fee or commission, without the intermediary providing the services intermediated. These intermediation activities can be carried out on digital platforms or through non-digital channels (including face-to-face, door-to-door, telephone, mail, and so on). The fee or commission can be received from either the client or the provider of the service activities for courses and tutors. Revenue for the intermediation activities can include other sources of income (for example, revenues from the sale of advertising space).  ;;Usługi pośrednictwa w zakresie prowadzenia kursów i korepetycji
85.69;'8569';Educational support activities n.e.c.;"provision of non-instructional activities that support educational processes or systems: educational consulting; vocational and career-related counselling activities; educational guidance counselling activities; educational testing evaluation activities; educational testing activities; organisation of student exchange programmes; examination and testing of regulated professions (e.g. pilots); development of curricula; expert and rehabilitation activities examining learning ability";;Działalność wspomagająca edukację, gdzie indziej niesklasyfikowana
86.1;'8610';Hospital activities;"activities for human health, performed by hospitals, legally recognised to treat patients. short- or long-term provision of medical, diagnostic and treatment services, including physician, nursing and other health services to inpatients and the specialised accommodation services required by inpatients, as provided by general hospitals and specialised hospitals (e.g. community and regional hospitals, hospitals of non-profit organisations, university hospitals, military and prison hospitals) The activities are chiefly directed to inpatients, are carried out under the direct supervision of medical doctors and include:; activities of medical and paramedical staff; activities of laboratory and technical facilities, including radiologic and anaesthesiologic activities; emergency room activities; provision of operating room services, pharmacy services, food and other hospital services; activities of family planning centres providing medical treatment (e.g. sterilisation, termination of pregnancy), with accommodation";activities of mental health or psychiatric hospitals, providing diagnostic and medical treatment;Działalność szpitali
86.21;'8621';General medical practice activities; medical consultation and treatment in the field of general medicine carried out by general practitioners;;Praktyka lekarska ogólna
86.22;'8622';Medical specialists activities; medical consultation and treatment in the field of specialised medicine by medical specialists and surgeons;" family planning centres providing medical treatment (e.g. sterilisation, termination of pregnancy), without accommodation; cosmetic surgery activities performed by medical specialists; treatment in outpatient or day clinics  (e.g. dialysis, chemotherapy, insulin therapy, respiratory treatment, radiation treatment); medical analysis and interpretation of diagnostic medical images (x-ray, electrocardiograms, endoscopies, etc.); activities provided by psychiatrists; activities of vaccination centres (immunisation, inoculation); activities of thrombosis centres";Praktyka lekarska specjalistyczna
86.23;'8623';Dental practice care activities;"dental practice activities of a general or specialised nature (e.g. dentistry, endodontic and paediatric dentistry); oral pathology; orthodontic activities";dental activities in operating rooms;Praktyka dentystyczna
86.91;'8691';Diagnostic imaging services and medical laboratory activities;"activities of medical laboratories providing analytic or diagnostic services (without the medical analysis or interpretation itself), including body fluid analysis or genetic testing, directly to outpatients from healthcare practitioners, for example:; X-ray laboratories and other diagnostic imaging centres; blood analysis laboratories; DNA sequencing for ruling out or curing a specific disease";laboratory doping control activities;Usługi diagnostyki obrazowej i działalność laboratoriów medycznych
86.92;'8692';Patient transportation by ambulance;ambulance transport of patients by any mode of transport, including airplanes. Ambulance vehicles carry paramedics / medical doctors and are usually equipped with lifesaving equipment.;"specialised transport of patients, accompanied by paramedics; primary care given by a paramedic or a doctor during the patient’s transport by ambulance";Transport pacjentów przez pogotowie ratunkowe
86.93;'8693';Activities of psychologists and psychotherapists, except medical doctors; consultation and treatment activities of psychologists (e.g. clinical psychologists, health psychologists, psychotherapists), except medical doctors;music therapy activities performed by psychotherapists/psychologists;Działalność psychologów i psychoterapeutów, z wyłączeniem lekarzy
86.94;'8694';Nursing and midwifery activities;"nursing and midwifery activities not performed by medical doctors, for example: activities of independent nurses, who work in own consulting rooms or at patients’ homes; activities of maternity facilities, without permanent supervision of medical doctors"; palliative nursing care for outpatients;Działalność pielęgniarek i położnych
86.95;'8695';Physiotherapy activities;therapies provided by independent professionals to improve mobility, restore function or reduce pain. The therapies provided include physiotherapy, and so on.;"activities of medical massage therapists; activities of ergotherapists; activities of occupational therapists";Działalność w zakresie fizjoterapii
86.96;'8696';Traditional, complementary and alternative medicine activities;This class includes the provision of preventive, curative, or rehabilitative healthcare services by health professionals. The health benefits of these services are not based on scientific data for diagnosing and treating diseases and have so far not been ;"activities of healers; hypnotherapy; reflexology activities; remedial therapists Cesar and Mensendieck; naprapathy";Działalność w zakresie medycyny tradycyjnej, uzupełniającej i alternatywnej
86.97;'8697';Intermediation service activities for medical, dental and other human health services;This class includes the intermediation of medical, dental and other human health services, by bringing clients and service providers together for a fee or commission, without the intermediary providing the medical, dental and other human health services that are intermediated. These intermediation activities can be carried out on digital platforms or through non-digital channels (including face-to-face, door-to-door, telephone, mail, and so on). The fee or commission can be received from either the client or the provider of the medical, dental or other human health service. Revenue for the intermediation activities can include other sources of income (for example, revenues from the sale of advertising space).;appointment reservations for medical, dental and other human health services;Usługi pośrednictwa związane z działalnością lekarską, dentystyczną i pozostałą działalnością w zakresie opieki zdrowotnej
86.99;'8699';Other human health activities n.e.c.;activities for human health n.e.c.: activities of paramedical practitioners in the field of optometry, hydrotherapy, speech therapy, podiatry/chiropody, etc.;"activities of dental paramedical personnel (e.g. dental therapists, school dental nurses or dental hygienists) who may work remote from – but are periodically supervised by – dentists; activities of blood banks, tissue banks, sperm banks, transplant organ banks, biobanks, genome data centres, etc., including collecting, processing, storage and shipping; operation of bone marrow donor registries; activities of orthoptists; activities of podiatrists; activities of skin therapists; health-related monitoring activities (infant nutrition, child health); activities of dieticians; prevention health activities and disease detection (cancer, tuberculosis, venereal diseases); transport of blood and body organs/fluids; shiatsu, Thai massage, Watsu, tui na qigong; animal therapy activities (e.g. hippotherapy); colonic hydrotherapy; dance and movement therapy; art therapy";Pozostała działalność w zakresie opieki zdrowotnej gdzie indziej niesklasyfikowana
87.1;'8710';Residential nursing care activities;"provision of residential care, with medical assistance, nursing and rehabilitation treatments. These establishments have a permanent core staff of registered or licensed practical nurses that, along with other staff, provide nursing care in combination with personal care. The medical or nursing care services typically include administering medication, performing medical diagnoses and dressing wounds, and are chiefly provided without the supervision of a medical doctor located on the premises. This class includes activities of:; homes for older persons with nursing care; convalescent homes, other than mental health and substance abuse facilities; rest homes with nursing care; nursing care facilities; nursing homes/hospices; inpatient care hospices for palliative care ";;Pomoc społeczna z zakwaterowaniem zapewniająca opiekę pielęgniarską
87.2;'8720';Residential care activities for persons living with or having a diagnosis of a mental illness or substance abuse;"This class includes the provision of residential care (but not licensed hospital care), protective supervision and counselling to persons living with or having a diagnosis of a mental illness, intellectual disability or substance abuse, irrespective of their age. This class includes activities of:; facilities for the treatment of substance abuse; mental health convalescent homes; residential group homes for the emotionally disturbed; mental health halfway houses; assisted living facilities for persons having a diagnosis of intellectual disability";;Pomoc społeczna z zakwaterowaniem dla osób z zaburzeniami psychicznymi lub uzależnieniami
87.3;'8730';Residential care activities for older persons or persons with physical disabilities;"provision of residential and personal care services for older persons or persons with physical disabilities who are unable to fully care for themselves and/or who choose not to live independently. The care typically includes room, board, supervision and assistance in daily living (for example, housekeeping activities). Nursing care is sometimes provided for residents in separate on-site facilities. This class includes activities of:; assisted living facilities; continuing care retirement communities; homes for older persons with minimal nursing care; rest homes without nursing care ";;Pomoc społeczna z zakwaterowaniem dla osób starszych lub osób z niepełnosprawnościami ruchowymi
87.91;'8791';Intermediation service activities for residential care activities;intermediation of residential care activities, by bringing clients and service providers together for a fee or commission, without the intermediary providing the residential care services that are intermediated.  These intermediation activities can be carried out on digital platforms or through non-digital channels (including door-to-door, face-to-face, telephone, mail, and so on). The fee or commission can be received from either the client or the provider of the residential care service. Revenue for the intermediation activities can include other sources of income (for example, revenues from the sale of advertising space).;;Usługi pośrednictwa w zakresie pomocy społecznej z zakwaterowaniem
87.99;'8799';Other residential care activities n.e.c.;"provision of residential care and assistance services for persons, except older persons and persons with disabilities, who are unable to fully care for themselves or who do not wish to live on their own. residential and social assistance activities provided on a round-the-clock basis to special categories of persons, but where medical treatment or education are not essential elements:; orphanages; children’s boarding homes and hostels; provision of residential services for homeless persons, refugees, immigrants, etc.; other residential family support activities The activities are usually carried out by government offices or private organisations";"activities of:  halfway houses for groups of persons with social or personal problems; halfway houses for delinquents and offenders; juvenile correction homes";Pozostała pomoc społeczna z zakwaterowaniem gdzie indziej niesklasyfikowana
88.1;'8810';Social work activities without accommodation for older persons or persons with disabilities;"social, counselling, welfare, referral and similar services which are aimed at older persons or persons with disabilities in their homes or elsewhere and carried out by government offices or by private organisations, national or local self-help organisations and by specialists providing counselling services:; visiting older persons and persons with disabilities; day-care activities for older persons or adults with disabilities; home assistance services for older persons or persons with disabilities; vocational rehabilitation and habilitation activities for persons with physical disabilities where the education component is limited ";"activities of caregivers (home assistance); homecare services";Pomoc społeczna bez zakwaterowania dla osób starszych lub osób z niepełnosprawnościami
88.91;'8891';Child day-care activities;"day-care activities for children provided in private homes or day-care centres; after-school care activities"; day-care activities for children with disabilities;Opieka dzienna nad dziećmi
